gdp,traffic
26.99086159,14.99683343
27.04782185,15.10530444
27.08444268,15.20655441
27.13326089,15.41625156
27.20241905,15.568114
27.22276035,15.63319359
27.27565612,15.73444567
27.29599726,15.74167003
27.29599726,15.87184429
27.32041001,16.00922784
27.35702066,16.13216265
27.38143036,16.18278055
27.38143341,16.19001788
27.35702066,16.18277814
27.38549774,16.24062824
27.41397363,16.30570783
27.42617712,16.20446359
27.43431476,16.21892499
27.48313908,16.24063337
27.51974803,16.25507907
27.56043319,16.2478526
27.56043319,16.18277301
27.56043319,16.13938159
27.57264686,16.21893011
27.59298511,16.27677297
27.62145659,16.3418598
27.66214445,16.38523856
27.69061916,16.4141713
27.71096318,16.37079255
27.72723082,16.46478165
27.76792174,16.54432535
27.80454257,16.53710401
27.88996855,16.51539774
27.94693051,16.6166471
28.01608985,16.72511299
28.06897867,16.88420008
28.12186714,16.98544643
28.17882639,17.00713973
28.22358028,17.02160384
28.24799286,17.00713973
28.30494159,17.26746051
28.34562708,17.33977743
28.38223875,17.39038778
28.4229183,17.31807116
